Image Name,Ingredients,Instructions
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_1.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_2.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_3.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_4.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_5.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_6.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_7.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_8.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_9.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_10.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
